ekegusii,english,reason,headword,contributor,date,source,url
Abanto ba Nyasae,,1 ekegusii vs 0 english,Abanto,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/abanto
Nyasae abasesenie,,1 ekegusii vs 0 english,Abasesenie,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/abasesenie
Amache yaisanire,,5 ekegusii vs 2 english,Amache,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/amache
amache korwa embura atereime para,,5 ekegusii vs 2 english,Amache,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/amache
Ndetere amache,,5 ekegusii vs 2 english,Amache,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/amache
Amache na' amarabu,,5 ekegusii vs 2 english,Amache,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/amache
Hero,,5 ekegusii vs 2 english,Amache,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/amache
,The water is enough,5 ekegusii vs 2 english,Amache,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/amache
,Water from the rain has stagnated on the road,5 ekegusii vs 2 english,Amache,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/amache
soma amachiko,,1 ekegusii vs 0 english,Amachiko,robertny,"October 10, 2019",lughayangu,https://lughayangu.com/ekegusii/amachiko
Amaiso amaroro,,1 ekegusii vs 0 english,Amaiso,Anonymous,"December 17, 2024",lughayangu,https://lughayangu.com/ekegusii/amaiso
,I got no words,0 ekegusii vs 1 english,Amang'ana,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/amangana
anaemia,,2 ekegusii vs 1 english,Amanyinga koera,Purity,"October 24, 2022",lughayangu,https://lughayangu.com/ekegusii/amanyinga-koera
Kwamboka atebigwa arie enderema enyinge ekiagera abwate oborwaire bw'amanyinga koera,,2 ekegusii vs 1 english,Amanyinga koera,Purity,"October 24, 2022",lughayangu,https://lughayangu.com/ekegusii/amanyinga-koera
,Kwamboka was told to eat more of the vine spinach now that she has anaemia,2 ekegusii vs 1 english,Amanyinga koera,Purity,"October 24, 2022",lughayangu,https://lughayangu.com/ekegusii/amanyinga-koera
inwe n'abarimo,,1 ekegusii vs 0 english,Aye/inwe(plural),Purity,"September 14, 2022",lughayangu,https://lughayangu.com/ekegusii/ayeinweplural
barabwo mbarugete igoro,,1 ekegusii vs 0 english,Barabwo,Purity,"September 14, 2022",lughayangu,https://lughayangu.com/ekegusii/barabwo
abaiseke bari chibarongo na abana ba Barongo,,1 ekegusii vs 2 english,Barongo,Purity,"November 7, 2022",lughayangu,https://lughayangu.com/ekegusii/barongo
,means the older twin,1 ekegusii vs 2 english,Barongo,Purity,"November 7, 2022",lughayangu,https://lughayangu.com/ekegusii/barongo
,Those twin girls are Barongo's daughters,1 ekegusii vs 2 english,Barongo,Purity,"November 7, 2022",lughayangu,https://lughayangu.com/ekegusii/barongo
Tigara buya,,2 ekegusii vs 0 english,Buya,Moraa,"September 4, 2019",lughayangu,https://lughayangu.com/ekegusii/buya
Moraa,,2 ekegusii vs 0 english,Buya,Moraa,"September 4, 2019",lughayangu,https://lughayangu.com/ekegusii/buya
Naki bwairire,,1 ekegusii vs 2 english,Bwairire,Obiri,"July 23, 2019",lughayangu,https://lughayangu.com/ekegusii/bwairire
,Good afternoon/ Good evening.,1 ekegusii vs 2 english,Bwairire,Obiri,"July 23, 2019",lughayangu,https://lughayangu.com/ekegusii/bwairire
,How was your day,1 ekegusii vs 2 english,Bwairire,Obiri,"July 23, 2019",lughayangu,https://lughayangu.com/ekegusii/bwairire
Chibesa irenga obwate?,,4 ekegusii vs 2 english,chibesa,robertny,"July 18, 2019",lughayangu,https://lughayangu.com/ekegusii/chibesa
