english,ekegusii,source,ref
"Now the Philistines fought against Israel ; and the men of Israel fled from before the Philistines , and fell down slain in mount Gilboa .","Bono Abafirisiti bakarwania Abaisraeli, na Abaisraeli bagatama korwa ase bare na bagaiterwa ase egetunwa kia Giliboa.",bible_ebible,1CH_10_1
"And they put his armour in the house of their gods , and fastened his head in the temple of Dagon .","Bakabeeka ebirwanero biaye ime ase Hekalu ye chinyasae chiabo, erio bagasiberania omotwe oye ase Hekalu ya Dagoni.",bible_ebible,1CH_10_10
"And when all Jabesh-gilead heard all that the Philistines had done to Saul ,","Korende ekero abanto bonsi ba Yabeshi o Gileadi baigwete aya onsi Abafirisiti bakorerete Saulo,",bible_ebible,1CH_10_11
"They arose , all the valiant men , and took away the body of Saul , and the bodies of his sons , and brought them to Jabesh , and buried their bones under the oak in Jabesh , and fasted seven days .","abarwani bonsi chituoni bakagenda bakarusia omobere o Saulo na ey’abamura baye korwa ase yarenge, bakayerenta Yabesi. Erio bagatindeka amauga abo inse y’Omoaluni agwo Yabesi, erio bakeng’ata amatuko atano na abere.",bible_ebible,1CH_10_12
"And enquired not of the LORD : therefore he slew him, and turned the kingdom unto David the son of Jesse .","na tarigetie okoraagwa korwa ase Omonene. Ase ayio Omonene akamoita, akarusia oborwoti asare, akaboa Daudi, mosinto o Yese.",bible_ebible,1CH_10_14
"And the Philistines followed hard after Saul , and after his sons ; and the Philistines slew Jonathan , and Abinadab , and Malchi-shua , the sons of Saul .","Abafirisiti bakabwatia Saulo na abamura baye, bagaita Yonathani, na Abinadabu, na Malikisua, abamura ba Saulo.",bible_ebible,1CH_10_2
"And the battle went sore against Saul , and the archers hit him, and he was wounded of the archers .","Esegi ekaba entindi mono ase Saulo, na abaruti emegwe bakamoromereria, bakamorasa, bakamoaka chingoma.",bible_ebible,1CH_10_3
"Then said Saul to his armourbearer , Draw thy sword , and thrust me through therewith; lest these uncircumcised come and abuse me. But his armourbearer would not; for he was sore afraid . So Saul took a sword , and fell upon it.","Erio Saulo agateebia omonto oria omobogoreretie ebirwanero, “Simora omoyio oo, ombete nkwe, erinde abanto aba batarogeti tibaabaisa kong’ita na gonchecheria.” Korende omonto oria akaanga, ekiagera nigo abeete nobwoba obonene. Ase ayio Saulo akabwata omoyio oye omonyene akegweria igoro yaye.",bible_ebible,1CH_10_4
"And when his armourbearer saw that Saul was dead , he fell likewise on the sword , and died .","Ekero omonto oria omobogoria ebirwanero aroche ng’a Saulo okuure, nere akegweria ase omoyio oye omonyene, agakwa.",bible_ebible,1CH_10_5
"So Saul died , and his three sons , and all his house died together .","Naboigo Saulo agakwa, ere na abamura baye batato amo nabaanto baye bonsi.",bible_ebible,1CH_10_6
"And when all the men of Israel that were in the valley saw that they fled , and that Saul and his sons were dead , then they forsook their cities , and fled : and the Philistines came and dwelt in them.","Ekero Abaisraeli bonsi abarenge ase ense eria omweremo baroche ng’a abarwani ’esegi babo batamire, na ng’a Saulo na abamura baye bakuure, bagatiga emechie yabo bagatama. Erio Abafirisiti bagacha, bakamenya ase emechie eyio.",bible_ebible,1CH_10_7
"And it came to pass on the morrow , when the Philistines came to strip the slain , that they found Saul and his sons fallen in mount Gilboa .","Rituko ria kabere, ekero Abafirisiti bachete konuura + 10:8 konuura: engencho yaye nokorusia gose ogosansora ebinto biarenge ebiengencho ebinto korwa ase emebere y’abanto bakwete, bakanyora Saulo amo nabamura baye bakwete agwo ase egetunwa kia Giliboa.",bible_ebible,1CH_10_8
"And when they had stripped him, they took his head , and his armour , and sent into the land of the Philistines round about , to carry tidings unto their idols , and to the people .","Bakamonuura ebinto biaye, bakanacha omotwe oye bakayoira, bakaira nebirwanero biaye, erio bagatoma abanto bararie amang’ana aya amaya ase ense yonsi y’Abafilisti, ase emegwekano yabo y’ogosasimwa na ase abanto.",bible_ebible,1CH_10_9
"Then all Israel gathered themselves to David unto Hebron , saying , Behold, we are thy bone and thy flesh .","Erio Abaisraeli bonsi bagasangerereka ase Daudi agwo Heburoni bakamoteebia, “Naama! Intwe nigo tore abamo naye, aba amanyinga ayamo, na omobere oyomo.",bible_ebible,1CH_11_1
"These also are the chief of the mighty men whom David had, who strengthened themselves with him in his kingdom , and with all Israel , to make him king , according to the word of the LORD concerning Israel .","Aba nabwo abanto abanene chituoni ba Daudi, baria bamosiirete bokong’u ase oborwoti bwaye, amo n’Abaisraeli bonsi bakamobeeka akaba omorwoti, koreng’ana ne ring’ana ri’Omonene igoro y’Abaisraeli.",bible_ebible,1CH_11_10
"And this is the number of the mighty men whom David had; Jashobeam , an Hachmonite , the chief of the captains : he lifted up his spear against three hundred slain by him at one time .",Oyo noro omobaro bw’abaanto chituoni ba Daudi: Ritang’ani Yasobeamu korwa Hakimoni. Ere nigo arenge omonene bwa baria batato. Ere akarwania abanto amagana atato ne ritimo riaye akabaita ase engaki eyemo.,bible_ebible,1CH_11_11
"And after him was Eleazar the son of Dodo , the Ahohite , who was one of the three mighties .","Na oyo o kabere bw’abwo batato n’Eleazari, mosinto o Dodo, Omoahohi.",bible_ebible,1CH_11_12
"He was with David at Pas-dammim , and there the Philistines were gathered together to battle , where was a parcel of ground full of barley ; and the people fled from before the Philistines .","Ere nigo arenge amo na Daudi agwo Pasi‐Damimu ekero Abafirisiti basangererekanete amo, barwane esegi aase omogondo bw’esairi orenge. Ekero abanto batamete korwa ase Abafirisiti,",bible_ebible,1CH_11_13
"And they set themselves in the midst of that parcel , and delivered it, and slew the Philistines ; and the LORD saved them by a great deliverance .","Eleazari agatenena gati gati y’omogondo oria, akaba omokong’u akayoegera, agaaka Abafirisiti, akabaita. Omonene akabaa obobui obonene.",bible_ebible,1CH_11_14
"Now three of the thirty captains went down to the rock to David , into the cave of Adullam ; and the host of the Philistines encamped in the valley of Rephaim .","Rituko erimo abanto batato ba baria abanene emerongo etato bagatirimboka gochia ase egetare, bakagenda ase Daudi agwo ase rikuruma ri’Adulamu, ekero abasikari b’Abafilisti batoorete ase ense omweya y’Abarefai.",bible_ebible,1CH_11_15
"And David was then in the hold , and the Philistines’ garrison was then at Beth-lehem .","Ase engaki eria Daudi nigo arenge ime ase eburi, na abasikari b’Abafilisti nigo barenge Bethlehemu.",bible_ebible,1CH_11_16
"And David longed , and said , Oh that one would give me drink of the water of the well of Beth-lehem , that is at the gate !","Daudi akabora ase okogania okonene, “Ntare konyora omonto andetere amaache inywe korwa ase ensoko eyio ere ase egeita kia Bethlehemu?”",bible_ebible,1CH_11_17
"And the three brake through the host of the Philistines , and drew water out of the well of Beth-lehem , that was by the gate , and took it , and brought it to David : but David would not drink of it, but poured it out to the LORD ,","Erio abanto baria batato bakabinya‐binyia + 11:18 bakabinya‐binyia: engencho yaye nogoeta gati yababisa noboremu egati y’Abafilisti aase batoorete, bakabuucha amaache korwa ase ensoko eria yarenge ase egeita kia Bethlehemu, bakayairera Daudi. Korende Daudi tayanywa otatiga ayaumorete akaba okoruegwa gw’ekenyugwa ase Omonene,",bible_ebible,1CH_11_18
