ekegusii,english,headword,contributor,date,source,url
Abana,Children,Abana,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/abana
Abana,#children,Abana,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/abana
Abana,#School,Abana,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/abana
Abanto,People,Abanto,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/abanto
Abanto,People of God,Abanto,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/abanto
Abanto,#People,Abanto,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/abanto
Abanto,#God,Abanto,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/abanto
Abasae,youth,Abasae,Purity,"September 6, 2022",lughayangu,https://lughayangu.com/ekegusii/abasae
Abasesenie,Bless you,Abasesenie,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/abasesenie
Abasesenie,God bless you,Abasesenie,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/abasesenie
Abasesenie,#God,Abasesenie,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/abasesenie
Abasesenie,#Bless,Abasesenie,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/abasesenie
Amaa,Lungs,Amaa,Purity,"August 26, 2022",lughayangu,https://lughayangu.com/ekegusii/amaa
Amabere,milk,Amabere,Purity,"September 11, 2022",lughayangu,https://lughayangu.com/ekegusii/amabere
Amabere,"July 14, 2023",Amabere,Purity,"September 11, 2022",lughayangu,https://lughayangu.com/ekegusii/amabere
Amache,Water,Amache,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/amache
Amache,#Water,Amache,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/amache
Amache,#enough,Amache,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/amache
Amache,Bring me water,Amache,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/amache
Amache,"November 28, 2023",Amache,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/amache
Amache,Water is clear.,Amache,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/amache
Amache,By Hero,Amache,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/amache
Amache,"November 30, 2023",Amache,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/amache
Amachiko,rules,Amachiko,robertny,"October 10, 2019",lughayangu,https://lughayangu.com/ekegusii/amachiko
Amachiko,read the rules,Amachiko,robertny,"October 10, 2019",lughayangu,https://lughayangu.com/ekegusii/amachiko
Amachiko,#Rules,Amachiko,robertny,"October 10, 2019",lughayangu,https://lughayangu.com/ekegusii/amachiko
Amachiko,"October 10, 2019",Amachiko,robertny,"October 10, 2019",lughayangu,https://lughayangu.com/ekegusii/amachiko
Amagana atano,five hundred,Amagana atano,Purity,"September 6, 2022",lughayangu,https://lughayangu.com/ekegusii/amagana-atano
Amage,footrot,Amage,Purity,"October 24, 2022",lughayangu,https://lughayangu.com/ekegusii/amage
Amagena,Eggs,Amagena,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/amagena
Amagena,#eggs,Amagena,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/amagena
Amagena y'embura,hailstones,Amagena y'embura,Purity,"September 7, 2022",lughayangu,https://lughayangu.com/ekegusii/amagena-yembura
Amaiso,Eyes,Amaiso,Anonymous,"December 17, 2024",lughayangu,https://lughayangu.com/ekegusii/amaiso
Amaiso,"December 17, 2024",Amaiso,Anonymous,"December 17, 2024",lughayangu,https://lughayangu.com/ekegusii/amaiso
Amakweri,death,Amakweri,Purity,"September 7, 2022",lughayangu,https://lughayangu.com/ekegusii/amakweri
Amanagu,black nightshade,Amanagu,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/amanagu
Amang'ana,Words,Amang'ana,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/amangana
Amang'ana,#words,Amang'ana,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/amangana
Amanyinga,blood,Amanyinga,Purity,"September 1, 2022",lughayangu,https://lughayangu.com/ekegusii/amanyinga
Amapenzi,Love/affection,Amapenzi,ESTHER,"February 21, 2025",lughayangu,https://lughayangu.com/ekegusii/amapenzi
Amapenzi,By ESTHER,Amapenzi,ESTHER,"February 21, 2025",lughayangu,https://lughayangu.com/ekegusii/amapenzi
Amapenzi,ESTHER,Amapenzi,ESTHER,"February 21, 2025",lughayangu,https://lughayangu.com/ekegusii/amapenzi
Amapenzi,"February 21, 2025",Amapenzi,ESTHER,"February 21, 2025",lughayangu,https://lughayangu.com/ekegusii/amapenzi
Amara,Intestines,Amara,Purity,"August 26, 2022",lughayangu,https://lughayangu.com/ekegusii/amara
Amara amanene,colon,Amara amanene,Purity,"September 1, 2022",lughayangu,https://lughayangu.com/ekegusii/amara-amanene
Amaru,Alcohol,Amaru,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/amaru
Amaru,#children,Amaru,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/amaru
Amaru,#Alcohol,Amaru,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/amaru
Amatiende,elephantiasis,Amatiende,Purity,"October 24, 2022",lughayangu,https://lughayangu.com/ekegusii/amatiende
Ande onsi,Anywhere,Ande onsi,Bironga Nyauma,"March 9, 2020",lughayangu,https://lughayangu.com/ekegusii/ande-onsi
Ande onsi,#do not,Ande onsi,Bironga Nyauma,"March 9, 2020",lughayangu,https://lughayangu.com/ekegusii/ande-onsi
Ande onsi,#Shoes,Ande onsi,Bironga Nyauma,"March 9, 2020",lughayangu,https://lughayangu.com/ekegusii/ande-onsi
Ande onsi,#anywhere,Ande onsi,Bironga Nyauma,"March 9, 2020",lughayangu,https://lughayangu.com/ekegusii/ande-onsi
Aria,there,Aria,Purity,"September 14, 2022",lughayangu,https://lughayangu.com/ekegusii/aria
Aye/inwe(plural),you,Aye/inwe(plural),Purity,"September 14, 2022",lughayangu,https://lughayangu.com/ekegusii/ayeinweplural
Aye/inwe(plural),You are liars,Aye/inwe(plural),Purity,"September 14, 2022",lughayangu,https://lughayangu.com/ekegusii/ayeinweplural
Barabwo,they,Barabwo,Purity,"September 14, 2022",lughayangu,https://lughayangu.com/ekegusii/barabwo
Barabwo,they cooked yesterday,Barabwo,Purity,"September 14, 2022",lughayangu,https://lughayangu.com/ekegusii/barabwo
Bobe,Wrongly,Bobe,Bironga Nyauma,"March 9, 2020",lughayangu,https://lughayangu.com/ekegusii/bobe
Bobe,#written,Bobe,Bironga Nyauma,"March 9, 2020",lughayangu,https://lughayangu.com/ekegusii/bobe
Bobe,#Wrong,Bobe,Bironga Nyauma,"March 9, 2020",lughayangu,https://lughayangu.com/ekegusii/bobe
Buya,Good/very well,Buya,Moraa,"September 4, 2019",lughayangu,https://lughayangu.com/ekegusii/buya
Buya,Remain well,Buya,Moraa,"September 4, 2019",lughayangu,https://lughayangu.com/ekegusii/buya
Buya,#Well,Buya,Moraa,"September 4, 2019",lughayangu,https://lughayangu.com/ekegusii/buya
Buya,By Moraa,Buya,Moraa,"September 4, 2019",lughayangu,https://lughayangu.com/ekegusii/buya
Buya,"September 4, 2019",Buya,Moraa,"September 4, 2019",lughayangu,https://lughayangu.com/ekegusii/buya
Bwairire,Good evening.,Bwairire,Obiri,"July 23, 2019",lughayangu,https://lughayangu.com/ekegusii/bwairire
Bwairire,#Good evening,Bwairire,Obiri,"July 23, 2019",lughayangu,https://lughayangu.com/ekegusii/bwairire
Bwairire,#Good afternoon,Bwairire,Obiri,"July 23, 2019",lughayangu,https://lughayangu.com/ekegusii/bwairire
Bwairire,Good evening,Bwairire,Obiri,"July 23, 2019",lughayangu,https://lughayangu.com/ekegusii/bwairire
Bwairire,"February 10, 2024",Bwairire,Obiri,"July 23, 2019",lughayangu,https://lughayangu.com/ekegusii/bwairire
Bwakire,Good morning?,Bwakire,Obiri,"July 23, 2019",lughayangu,https://lughayangu.com/ekegusii/bwakire
Bwakire,Good morning,Bwakire,Obiri,"July 23, 2019",lughayangu,https://lughayangu.com/ekegusii/bwakire
Bwakire,#Good morning,Bwakire,Obiri,"July 23, 2019",lughayangu,https://lughayangu.com/ekegusii/bwakire
Bwakire,By Issstephaniee,Bwakire,Obiri,"July 23, 2019",lughayangu,https://lughayangu.com/ekegusii/bwakire
Bwakire,Issstephaniee,Bwakire,Obiri,"July 23, 2019",lughayangu,https://lughayangu.com/ekegusii/bwakire
Bwakire,"January 4, 2024",Bwakire,Obiri,"July 23, 2019",lughayangu,https://lughayangu.com/ekegusii/bwakire
Bwakire,"February 1, 2024",Bwakire,Obiri,"July 23, 2019",lughayangu,https://lughayangu.com/ekegusii/bwakire
Bwakire,Joe bleidy cyborg,Bwakire,Obiri,"July 23, 2019",lughayangu,https://lughayangu.com/ekegusii/bwakire
Bwakire,"June 3, 2025",Bwakire,Obiri,"July 23, 2019",lughayangu,https://lughayangu.com/ekegusii/bwakire
Bwakire,Good morning mom/grandmother,Bwakire,Obiri,"July 23, 2019",lughayangu,https://lughayangu.com/ekegusii/bwakire
Bwakire,"April 23, 2026",Bwakire,Obiri,"July 23, 2019",lughayangu,https://lughayangu.com/ekegusii/bwakire
Bwari,By Lenah Isaboke,Bwari,Lenah Isaboke,"March 29, 2024",lughayangu,https://lughayangu.com/ekegusii/bwari
Bwari,Lenah Isaboke,Bwari,Lenah Isaboke,"March 29, 2024",lughayangu,https://lughayangu.com/ekegusii/bwari
Bwari,"March 29, 2024",Bwari,Lenah Isaboke,"March 29, 2024",lughayangu,https://lughayangu.com/ekegusii/bwari
chibesa,Money,chibesa,robertny,"July 18, 2019",lughayangu,https://lughayangu.com/ekegusii/chibesa
chibesa,#Money,chibesa,robertny,"July 18, 2019",lughayangu,https://lughayangu.com/ekegusii/chibesa
chibesa,#have,chibesa,robertny,"July 18, 2019",lughayangu,https://lughayangu.com/ekegusii/chibesa
chibesa,"July 18, 2019",chibesa,robertny,"July 18, 2019",lughayangu,https://lughayangu.com/ekegusii/chibesa
chibesa,Give me money,chibesa,robertny,"July 18, 2019",lughayangu,https://lughayangu.com/ekegusii/chibesa
chibesa,# give,chibesa,robertny,"July 18, 2019",lughayangu,https://lughayangu.com/ekegusii/chibesa
Chibirioni ibere,two billion,Chibirioni ibere,Purity,"September 11, 2022",lughayangu,https://lughayangu.com/ekegusii/chibirioni-ibere
Chidengu,green grams,Chidengu,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/chidengu
Chidengu,lentils,Chidengu,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/chidengu
